dpmp,lat,lon,kmeans,som,agglomerative,dbscan
5001,6.2443382,-75.573553,2,4,1,0
5002,5.80498375,-75.4304641628398,2,4,1,0
5004,6.6319273,-76.0645541,2,4,1,0
5021,6.355965449999999,-75.09860996491068,2,4,1,0
5030,6.035448199999999,-75.70093,2,4,1,0
5031,7.0201156,-74.95163388200078,2,4,1,0
5034,5.6277103,-75.94516695018251,2,4,1,0
5036,6.131153899999999,-75.72075627092343,2,4,1,0
5038,6.8693472,-75.35301149467134,2,4,1,0
5040,7.0736127,-75.1466433,2,4,1,0
15832,5.71736945,-73.93126949176407,3,1,0,0
5044,6.31394255,-75.91804564673755,2,4,1,0
5045,7.8849011,-76.6227461,2,3,1,0
5051,8.8528266,-76.4273168,4,3,2,0
5055,5.7310785,-75.1428525,2,4,1,0
5059,6.1561777,-75.7870472,2,4,1,0
5079,6.438483250000001,-75.33912589828495,2,4,1,0
5088,6.334997,-75.5582665,2,4,1,0
5091,5.7451779,-75.9768362,2,4,1,0
5093,6.1134294,-75.9845433,2,4,1,0
5101,5.8500342,-76.0208666,2,4,1,0
5107,7.12021975,-75.58269735773685,2,4,1,0
5113,6.8110809,-75.92084701105912,2,4,1,0
5120,7.577089,-75.3514383,2,3,1,0
5125,6.42595665,-75.99210811258797,2,4,1,0
5129,6.05168765,-75.63035824143908,2,4,1,0
5134,7.07754205,-75.29439599536364,2,4,1,0
5138,6.7519854,-76.0261638,2,4,1,0
5142,6.4092756,-74.7566979,2,4,1,0
5145,5.5487065,-75.6444056,2,4,1,0
5147,7.79845155,-76.74603894250129,2,3,1,0
15476,5.6124101500000005,-73.37766150522931,0,1,0,0
5150,6.6570463,-75.0705303,2,4,1,0
5154,7.8276894,-75.04524822749215,4,3,1,0
5172,7.6129384,-76.63842602303447,2,3,1,0
5190,6.54522135,-75.0803002625695,2,4,1,0
5197,6.0580111,-75.1859102,2,4,1,0
5206,6.3952317,-75.2591598,2,4,1,0
5209,6.054602,-75.92456000839623,2,4,1,0
5212,6.3461047,-75.5080262,2,4,1,0
5234,7.0015209,-76.2666243,2,4,1,0
5237,6.4833333,-75.4,2,4,1,0
5240,6.32290965,-75.78343215226036,2,4,1,0
5250,7.6977101,-74.6222028245339,4,3,0,0
5264,6.5928214,-75.563170645712,2,4,1,0
5266,6.1701348,-75.587415,2,4,1,0
5282,5.8761736,-75.6915506750999,2,4,1,0
23675,9.33022695,-75.9948706725043,4,3,2,0
5306,6.6804539,-75.95338,2,4,1,0
5308,6.37580625,-75.43903067398595,2,4,1,0
5310,6.6815224,-75.2194104,2,4,1,0
27361,5.1593099,-76.685528,2,4,1,0
5315,6.87251,-75.21952230334287,2,4,1,0
5318,6.2800171,-75.4426875,2,4,1,0
5321,6.2342179,-75.1617452,2,4,1,0
5347,6.2076404,-75.7339685,2,4,1,0
5353,5.79761205,-75.91561016708425,2,4,1,0
5360,6.1724352,-75.6093254,2,4,1,0
5361,7.1723319,-75.7640925,2,4,1,0
5086,6.64684855,-75.68713438178065,2,4,1,0
5368,5.76440055,-75.76808042141812,2,4,1,0
5376,5.98430825,-75.44752287622777,2,4,1,0
5380,6.1576944,-75.6434368,2,4,1,0
5390,5.7466446,-75.6054273,2,4,1,0
5400,5.9737744,-75.3613093,2,4,1,0
5411,6.6781311,-75.8112309,2,4,1,0
5425,6.5535012,-74.7877474,2,4,1,0
5440,6.1752941,-75.3377995,2,4,1,0
5467,5.9458633,-75.5246825,2,4,1,0
5475,6.9782419,-76.8192432,2,4,1,0
5480,7.2440678,-76.436542,2,4,1,0
5483,5.609179,-75.17625,2,4,1,0
5490,8.4242821,-76.784019,4,3,1,0
5495,8.0938077,-74.7751988,4,3,2,0
5501,6.6276127,-75.8127419,2,4,1,0
5541,6.2542181,-75.23669725348444,2,4,1,0
5543,7.0216424,-75.9095164,2,4,1,0
5576,5.8195157,-75.85929487100182,2,4,1,0
5579,6.4899205,-74.4020634,0,4,1,0
5585,6.14048685,-74.71090923338866,2,4,1,0
5591,5.8689335,-74.6407965,2,4,1,0
5604,6.9839109,-74.54990969295002,2,0,0,0
5607,6.060275,-75.5095139,2,4,1,0
5615,6.1536166,-75.3741691,2,4,1,0
5628,6.920950550000001,-75.7820611226417,2,4,1,0
5631,6.1515344,-75.6153715,2,4,1,0
5642,5.9631358,-75.9791386,2,4,1,0
15189,5.38862195,-73.2780402877506,0,1,0,0
52699,1.2771407,-77.7290493009034,1,5,3,0
5652,5.875340100000001,-74.94699113475073,2,4,1,0
5656,6.4427228,-75.727937,2,4,1,0
68575,7.3480175,-73.8979783,0,0,0,0
68573,6.70128855,-73.9774782111397,0,0,0,0
5660,6.0428128,-74.9944061,2,4,1,0
5664,6.7456757,-75.4541053,2,4,1,0
5667,6.30792375,-75.01378704541548,2,4,1,0
5670,6.43070575,-74.94080256175135,2,4,1,0
5674,6.2826869,-75.3317647,2,4,1,0
5679,5.8721374,-75.57729401249455,2,4,1,0
5690,6.471221,-75.1643724,2,4,1,0
5697,6.12326265,-75.26507789581004,2,4,1,0
5736,7.27759545,-74.62121481377255,2,0,0,0
5761,6.5009582,-75.7424979,2,4,1,0
50370,3.2413296,-74.3510657,3,2,5,0
5789,5.67615565,-75.73232886815234,2,4,1,0
5790,7.5804751,-75.3998498,2,3,1,0
5792,5.864064,-75.8217932,2,4,1,0
5809,6.065428300000001,-75.80344879401983,2,4,1,0
5819,7.0072725,-75.71111495995895,2,4,1,0
5837,8.0950848,-76.728545,2,3,1,0
5842,6.91241705,-76.13863789577395,2,4,1,0
5847,6.3168685,-76.1344983,2,4,1,0
5854,7.165519,-75.438614,2,4,1,0
5856,5.6153841,-75.6247028,2,4,1,0
5858,6.7715902,-74.7973449,2,4,1,0
5861,5.9458914,-75.77601893549026,2,4,1,0
5885,6.71822975,-74.75288660542554,2,4,1,0
5887,7.008538,-75.4087701798245,2,4,1,0
5890,6.66856225,-74.63140126236799,2,4,1,0
5893,7.0044426,-73.9113922,0,0,0,0
5895,7.4925154,-74.8682314,2,3,0,0
8001,10.9938698,-74.7927177,4,3,2,0
8078,10.7684258,-74.9179523191095,4,3,2,0
8141,10.4903807,-74.86683760095967,4,3,2,0
8296,10.8968665,-74.8859608,4,3,2,0
8421,10.6221761,-75.14116485163257,4,3,2,0
8433,10.8653387,-74.7746194,4,3,2,0
8436,10.4470319,-74.9594166,4,3,2,0
8549,10.7483504,-75.1081639,4,3,2,0
8558,10.75828765,-74.86273693012016,4,3,2,0
8634,10.80408175,-74.77445095710297,4,3,2,0
8638,10.6307159,-74.9209378,4,3,2,0
8675,10.3244398,-74.9610815,4,3,2,0
8685,10.760241,-74.7561781,4,3,2,0
8758,10.9149593,-74.7821054,4,3,2,0
8770,10.30473315,-74.91403463227351,4,3,2,0
