Divipola,Poblacion_2034
11001,6616514.859334405
13001,1052015.0
13052,75429.0
13062,8762.0
13140,24575.0
13222,16081.0
13244,75923.0
13430,145035.0
13442,50463.0
13468,48385.0
13657,40020.0
13670,23260.94871794872
13688,35854.0
13836,114716.0
13838,17776.0
15001,185469.0
15051,6265.0
15176,60138.0
15238,131591.0
15272,7109.0
15299,19208.0
15322,11400.0
15469,24083.0
15491,17167.0
15500,3007.0
15516,36078.0
15537,4472.0
15572,50160.0
15646,19645.0
15755,7627.0
15757,8432.0
15759,136391.0
15806,13925.0
15820,3832.0
15837,8839.0
17001,454494.0
17013,23403.0
17174,53317.0
17380,75043.0
17524,15978.0
17614,53746.0
17653,19959.0
17777,29856.0
17873,68601.0
18001,177946.0
18753,54150.0
19001,339454.0
19050,27823.0
19075,22395.0
19100,39359.0
19137,42815.0
19142,33216.4358974359
19212,26810.0
19300,20401.0
19455,33395.0
19532,38968.0
19548,43495.0
19573,44134.0
19622,12142.0
19698,116885.0
19780,33762.0
19807,37682.0
19845,21935.0
20001,368338.8593344044
20011,126377.0
20013,69759.0
20032,22921.0
20045,24797.0
20060,46093.0
20228,42836.0
20238,34418.0
20250,42960.0
20295,17143.0
20383,19644.0
20400,53557.0
20570,30844.0
20614,19252.0
20621,31829.0
20710,30145.0
20770,30559.0
23001,523150.0
23162,112717.3
23189,63134.0
23417,117557.0
23466,68052.2564102564
23555,68231.0
23580,45050.0
23660,115097.0
23670,49955.75833333334
23807,98557.2
25001,13638.0
25019,7494.0
25035,17161.0
25040,16059.0
25053,12201.0
25099,11830.0
25126,98441.0
25148,14364.0
25151,19886.0
25175,158258.0
25183,24144.0
25200,26055.0
25214,39070.0
25224,8900.0
25245,28185.0
25260,25330.0
25269,166588.0
25279,13959.0
25286,111675.0
25290,165143.0
25295,20142.0
25307,119446.0
25317,15528.0
25320,35904.0
25322,17989.0
25377,35317.0
25386,38759.0
25402,20025.0
25407,11753.0
25430,134736.0
25473,151244.0
25486,15588.0
25513,28412.0
25530,9851.0
25572,18181.0
25612,15324.0
25718,12518.0
25736,13506.0
25740,39761.0
25743,25347.0
25745,15149.0
25754,328537.8593344044
25758,30780.0
25769,17544.0
25772,20120.0
25781,6923.0
25785,25692.0
25793,9423.0
25799,26012.0
25817,46918.0
25839,8720.0
25841,7729.0
25843,50581.0
25845,8073.0
25873,20062.0
25875,31632.0
25899,155618.0
27001,142184.0
27205,13652.0
27245,9121.0
27361,30206.28205128205
41001,380019.0
41016,17322.0
41132,33102.0
41298,77794.0
41306,26304.0
41396,65676.0
41518,7078.0
41524,28245.0
41551,134110.0
41615,26153.0
41668,35550.0
41797,11475.0
41799,12572.0
41872,7782.0
44001,222541.0
44035,35116.0
44090,45876.0
44279,50242.0
44378,23417.6
44430,200136.0
44650,54858.0
44847,192278.0
47001,555030.0
47053,44857.0
47058,33688.0
47189,132157.0
47245,73253.0
47268,21634.0
47288,74175.0
47318,29946.0
47551,41612.0
47555,69707.0
47745,30470.0
47980,76962.0
50001,385720.8593344044
50006,95500.0
5001,2595300.0
5002,21297.0
50110,7079.0
50124,6554.0
50150,15683.0
50226,24858.0
5030,32142.0
5031,27637.0
50313,75007.0
50318,15361.0
5034,45796.0
5042,27831.0
5045,130362.0
5051,31853.0
50568,45511.0
50573,33079.0
50606,19890.0
50680,13433.0
50689,29399.0
5079,55649.0
5088,561955.0
5101,27458.0
5113,9925.0
5129,85385.0
5138,16256.0
5147,51777.0
5148,63761.0
5154,97025.0
5172,61741.0
5190,10326.0
52001,351448.6153846154
52079,58292.0
5209,22540.0
5212,83559.0
52317,20338.0
5234,24377.0
52356,120842.0
5237,20198.0
52399,33262.0
5250,55845.0
5264,11982.0
5266,246327.0
52678,29936.0
5282,25764.0
52835,265599.0
52838,43184.02564102564
5284,21737.0
5306,5899.0
5308,55483.0
5310,10300.0
5318,59226.0
5321,8945.0
5353,5790.0
5360,296953.0
5361,28634.0
5376,69831.0
5380,76971.0
5390,8571.0
5400,22870.0
54001,806378.0
54003,32111.53846153846
54099,9309.0
54172,19703.0
5425,8646.0
54261,30568.0
5440,69343.0
54405,102949.0
54498,133758.9
54518,56451.0
54520,6186.0
54673,8049.0
54720,28749.0
5480,14904.0
54810,44718.53846153846
54874,115364.0
5490,45151.0
5579,41857.0
5585,15124.0
5591,19387.0
5607,25227.0
