divipol,ubicacion,area,capacidad,precio
11001,"Bogotá, Bogotá, d.c.",13543,254540.685,311485320
13001,"Cartagena, Bolivar",20741,389827.09500000003,103705000
13052,"Arjona, Bolivar",1596,29996.82,27132000
13062,"Arroyohondo, Bolivar",511,9604.245000000003,7111360
13838,"Turbana, Bolivar",1500,28192.5,21000000
15001,"Tunja, Boyaca",570.0,10713.150000000001,21000000
15238,"Duitama, Boyaca",1638,30786.210000000006,59000000
15469,"Moniquirá, Boyaca",130,2443.35,800000
17001,"Manizales, Caldas",6000,112770.0,130000000
17013,"Aguadas, Caldas",460,8645.7,11500000
17380,"La dorada, Caldas",723,13588.785,15906000
17653,"Salamina, Caldas",200,3759.0,1500000
17873,"Villamaria, Caldas",2300,43228.50000000001,24000000
18001,"Florencia, Caqueta",62.48,1174.3116,930000
19573,"Puerto tejada, Cauca",3203,60200.385,46000000
19698,"Santander de quilichao, Cauca",1534,28831.53,18400000
20001,"Valledupar, Cesar",600.0,11277.000000000002,12000000
23001,"Montería, Cordoba",875,16445.625000000004,3937500
23162,"Cereté, Cordoba",5000,93975.0,4000000
25001,"Agua de dios, Cundinamarca",180,3383.1000000000004,1500000
25126,"Cajicá, Cundinamarca",550,10337.25,18500000
25175,"Chía, Cundinamarca",5175,97264.12500000001,132000000
25214,"Cota, Cundinamarca",10000.0,187950.0,230000000
25260,"El rosal, Cundinamarca",800,15036.0,6500000
25269,"Facatativa, Cundinamarca",900,16915.5,10000000
25286,"Funza, Cundinamarca",9384.0,176372.28,225216000
25290,"Fusagasugá, Cundinamarca",152,2856.8400000000006,4200000
25295,"Gachancipá, Cundinamarca",21134,397213.53,399432600
25307,"Girardot, Cundinamarca",650,12216.75,13000000
25320,"Guaduas, Cundinamarca",1200,22554.000000000004,1500000
25377,"La calera, Cundinamarca",775,14566.125,10000000
25430,"Madrid, Cundinamarca",7500,140962.50000000003,150000000
25473,"Mosquera, Cundinamarca",8502.0,159795.09000000003,131781000
25740,"Sibate, Cundinamarca",16594,311884.23000000004,275360000
25754,"Soacha, Cundinamarca",16594,311884.23000000004,275360000
25758,"Sopó, Cundinamarca",2800,52626.00000000001,27000000
25769,"Subachoque, Cundinamarca",1140,21426.300000000003,16000000
25799,"Tenjo, Cundinamarca",9384.0,176372.28,225216000
25817,"Tocancipá, Cundinamarca",18808,353496.36000000004,71809364
25899,"Zipaquirá, Cundinamarca",12986,244071.87000000002,111812400
27001,"Quibdó, Choco",670,12592.65,12050000
41001,"Neiva, Huila",2800,52626.00000000001,20000000
47001,"Santa marta, Magdalena",2000.0,37590.0,49000000
47745,"Sitionuevo, Magdalena",600,11277.000000000002,9000000
50001,"Villavicencio, Meta",2740,51498.3,35000000
5001,"Medellín, Antioquia",8000,150360.0,110000000
50150,"Castilla la nueva, Meta",230,4322.85,8000000
5030,"Amagá, Antioquia",560,10525.2,14600000
5045,"Apartadó, Antioquia",1152,21651.84,12000000
5079,"Barbosa, Antioquia",126,2368.1700000000005,1100000
5088,"Bello, Antioquia",8550,160697.25,153900000
5129,"Caldas, Antioquia",1500.0,28192.5,9000000
5148,"El carmen de viboral, Antioquia",485,9115.574999999999,13500000
52001,"Pasto, Nariño",3640,68413.8,4700000
5212,"Copacabana, Antioquia",8550,160697.25,153900000
52356,"Ipiales, Nariño",1350,25373.25,20230000
5266,"Envigado, Antioquia",1897,35654.115000000005,67000000
5308,"Girardota, Antioquia",18000,338310.0,384000000
5318,"Guarne, Antioquia",13500.0,253732.5,405000000
5360,"Itaguí, Antioquia",4200,78939.0,84000000
