IDORIGEN,municipio,departamento,lat,lon,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
11001,Bogotá D.C.,Bogotá D.C.,4.6533816,-74.0836333,3804636.0,3972841.0,4139946.0,4306433.0,4471841.0,4635514.0,4798274.0,4962022.0,5138233.0,5296708.0,5455819.0,5614203.0,5768738.0,5916230.0,6055303.0,6184880.0,6304362.0,6414904.0,6518528.0,6616513.0,6710910.0,6801343.0,6884569.0,6960512.0,7031399.0,7096886.0,7152656.0,7195980.0,7228427.0,7252949.0,7273265.0,7300918.0,7337449.0,7412566.0,7592871.0,7732161.0,7823334.0,7873316.0,7907281.0
13001,Cartagena,Bolívar,10.4265566,-75.5441671,500910.0,518106.0,536321.0,555300.0,575048.0,595156.0,615599.0,636217.0,656836.0,676334.0,687500.0,702148.0,721430.0,739998.0,759052.0,773653.0,787731.0,801358.0,814309.0,826818.0,838757.0,850452.0,861563.0,871497.0,884136.0,893696.0,902797.0,911414.0,919794.0,927832.0,935887.0,945316.0,956464.0,973045.0,1003685.0,1017616.0,1032133.0,1043185.0,1052015.0
13052,Arjona,Bolívar,10.2534632,-75.3427213,36338.0,37495.0,38693.0,39911.0,41179.0,42449.0,43741.0,45047.0,46324.0,47577.0,48330.0,49064.0,50280.0,51446.0,52675.0,53739.0,54801.0,55828.0,56819.0,57778.0,58729.0,59637.0,60549.0,61351.0,62246.0,63032.0,63765.0,64485.0,65181.0,65855.0,66578.0,67351.0,68165.0,69503.0,71837.0,72839.0,73980.0,74773.0,75429.0
13062,Arroyohondo,Bolívar,10.24402435,-75.0283270068316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8661.0,8645.0,8636.0,8627.0,8620.0,8583.0,8580.0,8576.0,8537.0,8546.0,8589.0,8486.0,8531.0,8435.0,8364.0,8358.0,8283.0,8170.0,8139.0,8221.0,8254.0,8504.0,8534.0,8602.0,8694.0,8762.0
13140,Calamar,Bolívar,10.2526122,-74.9146691,23928.0,24012.0,24018.0,24076.0,24006.0,23965.0,23929.0,23900.0,23890.0,23935.0,23906.0,23294.0,23334.0,17771.0,17938.0,18237.0,18508.0,18798.0,19050.0,19304.0,19542.0,19812.0,20049.0,20314.0,20464.0,20669.0,20880.0,21074.0,21261.0,21444.0,21611.0,21855.0,22117.0,22474.0,22794.0,23607.0,24034.0,24331.0,24575.0
13222,Clemencia,Bolívar,10.56180475,-75.3295539371322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10504.0,10646.0,10836.0,11000.0,11244.0,11498.0,11777.0,12019.0,12263.0,12459.0,12674.0,12886.0,13049.0,13215.0,13393.0,13566.0,13671.0,13796.0,13911.0,14036.0,14143.0,14347.0,14511.0,15014.0,15379.0,15698.0,15912.0,16081.0
13244,El Carmen de Bolívar,Bolívar,9.7178841,-75.1241376,65809.0,65896.0,65970.0,66049.0,66108.0,66134.0,66137.0,66245.0,66395.0,66516.0,66294.0,65221.0,65435.0,65686.0,65928.0,66375.0,66792.0,67218.0,67596.0,67933.0,68268.0,68564.0,68815.0,69012.0,69105.0,69210.0,69305.0,69322.0,69348.0,69322.0,69291.0,69403.0,69478.0,70131.0,71428.0,73278.0,74331.0,75188.0,75923.0
13430,Magangué,Bolívar,9.2412097,-74.7567413,92010.0,93316.0,94606.0,95888.0,97235.0,98456.0,99722.0,101040.0,102447.0,103781.0,104445.0,103994.0,105392.0,106803.0,108268.0,109886.0,111507.0,113108.0,114637.0,116144.0,117593.0,119009.0,120388.0,121616.0,122710.0,123845.0,124937.0,125937.0,126913.0,127838.0,128781.0,129878.0,131183.0,133270.0,137030.0,139816.0,142069.0,143690.0,145035.0
13442,María la Baja,Bolívar,9.9840479,-75.3019515,34355.0,34652.0,34927.0,35153.0,35366.0,35558.0,35677.0,35857.0,36054.0,36229.0,36364.0,35641.0,35858.0,36109.0,36356.0,36893.0,37440.0,37993.0,38558.0,39109.0,39675.0,40217.0,40775.0,41299.0,41598.0,42060.0,42545.0,42998.0,43413.0,43838.0,44257.0,44730.0,45242.0,46112.0,47389.0,48523.0,49402.0,49995.0,50463.0
13468,Mompós,Bolívar,9.2426345,-74.4262293,34541.0,34861.0,35174.0,35427.0,35751.0,35987.0,36227.0,36445.0,36727.0,36957.0,37025.0,36462.0,36706.0,36963.0,37202.0,37627.0,38058.0,38492.0,38919.0,39369.0,39736.0,40150.0,40573.0,40937.0,41134.0,41487.0,41786.0,42085.0,42424.0,42667.0,42960.0,43341.0,43709.0,44442.0,45498.0,46606.0,47377.0,47927.0,48385.0
13657,San Juan Nepomuceno,Bolívar,9.9254725,-75.0117976,28326.0,28628.0,28848.0,29145.0,29478.0,29743.0,30039.0,30321.0,30650.0,30928.0,31009.0,30816.0,31147.0,31490.0,31833.0,32190.0,32569.0,32924.0,33267.0,33506.0,33899.0,34188.0,34462.0,34704.0,34909.0,35138.0,35311.0,35508.0,35671.0,35805.0,35911.0,36218.0,36324.0,36874.0,37765.0,38602.0,39191.0,39655.0,40020.0
13670,San Pablo de Borbur,Bolívar,7.4772487,-73.9234783,17370.0,18007.0,18625.0,19268.0,19843.0,20418.0,21032.0,21576.0,22167.0,22780.0,19559.0,19523.0,19884.0,20250.0,20623.0,21058.0,21488.0,21911.0,22330.0,22721.0,23113.0,23480.0,23853.0,24193.0,24503.0,24809.0,25116.0,25398.0,25649.0,25888.0,26146.0,26436.0,26697.0,27190.0,28043.0,28495.0,28939.0,29249.0,29547.0
13688,Santa Rosa del Sur,Bolívar,7.760892699999999,-74.30187743755698,12168.0,12735.0,13308.0,13877.0,14392.0,14975.0,15529.0,16106.0,16649.0,17235.0,17752.0,17943.0,18498.0,19099.0,19722.0,20426.0,21155.0,21890.0,22608.0,23325.0,24050.0,24770.0,25478.0,26162.0,26754.0,27401.0,28045.0,28671.0,29268.0,29863.0,30498.0,31080.0,31756.0,32646.0,33701.0,34481.0,35147.0,35517.0,35854.0
13836,Turbaco,Bolívar,10.3305871,-75.4127345,33110.0,35371.0,37740.0,40165.0,42660.0,45254.0,47884.0,50566.0,53229.0,55883.0,57893.0,60095.0,62774.0,65418.0,68146.0,70509.0,72783.0,75060.0,77238.0,79363.0,81435.0,83448.0,85401.0,87257.0,89359.0,91136.0,92862.0,94515.0,96145.0,97668.0,99237.0,100929.0,102688.0,105166.0,109813.0,110631.0,112533.0,113746.0,114716.0
13838,Turbaná,Bolívar,10.233116,-75.448718562246,9169.0,9429.0,9712.0,9934.0,10207.0,10523.0,10845.0,11146.0,11411.0,11672.0,11833.0,11963.0,12252.0,12476.0,12758.0,12973.0,13202.0,13408.0,13677.0,13866.0,14065.0,14256.0,14456.0,14634.0,14823.0,15000.0,15148.0,15322.0,15489.0,15596.0,15728.0,15883.0,16116.0,16403.0,16954.0,17183.0,17455.0,17641.0,17776.0
15001,Tunja,Boyacá,5.5324313,-73.3616014,82800.0,85165.0,87645.0,90147.0,92665.0,95387.0,97700.0,100443.0,103112.0,105995.0,108993.0,111985.0,114943.0,117976.0,121007.0,123975.0,126886.0,129744.0,132661.0,135482.0,138131.0,140936.0,143677.0,146463.0,149183.0,151971.0,154630.0,157191.0,159682.0,162176.0,164693.0,167207.0,169883.0,172548.0,176347.0,179205.0,181729.0,183582.0,185469.0
