IDORIGEN,lat,lon,kmeans,som,agglomerative,dbscan
11001,4.6533816,-74.0836333,1,1,4,0
13001,10.4265566,-75.5441671,0,5,3,0
13052,10.2534632,-75.3427213,0,5,3,0
13062,10.24402435,-75.0283270068316,0,5,3,0
13140,10.2526122,-74.9146691,0,5,3,0
13222,10.56180475,-75.3295539371322,0,5,3,0
13244,9.7178841,-75.1241376,0,5,3,0
13430,9.2412097,-74.7567413,0,5,3,0
13442,9.9840479,-75.3019515,0,5,3,0
13468,9.2426345,-74.4262293,0,5,3,0
13657,9.9254725,-75.0117976,0,5,3,0
13670,7.4772487,-73.9234783,3,2,0,0
13688,7.760892699999999,-74.30187743755698,3,5,1,0
13836,10.3305871,-75.4127345,0,5,3,0
13838,10.233116,-75.448718562246,0,5,3,0
15001,5.5324313,-73.3616014,1,1,0,0
15051,5.75520695,-73.45137111659105,1,1,0,0
15176,5.6182733,-73.8167476,1,1,0,0
15238,5.8277055,-73.0338939,3,2,0,0
15272,5.669188,-72.9933907,3,1,0,0
15299,5.0822246,-73.3643092,1,1,0,0
15322,5.0226102,-73.49199017070515,1,1,0,0
15469,5.8763096,-73.5732077,1,2,0,0
15491,5.7705609,-72.9397458,3,2,0,0
15500,5.6170796,-73.27484921284284,1,1,0,0
15516,5.7812701,-73.1176532,3,2,0,0
15537,6.02682935,-72.76314962038538,3,2,0,0
15572,5.9756376,-74.5882837,4,4,4,0
15646,5.4917892,-73.48529,1,1,0,0
15755,6.0412437,-72.6365858,3,2,0,0
15757,5.997488,-72.6911515,3,2,0,0
15759,5.7148307,-72.9279328,3,2,0,0
15806,5.74808125,-73.01279081935618,3,2,0,0
15820,5.76645735,-72.8403633596765,3,2,0,0
15837,5.67861455,-73.18705631500403,1,1,0,0
17001,5.0743694,-75.50811667440546,5,3,1,0
17013,5.613113,-75.4575902,4,4,1,0
17174,4.9830232,-75.6054129,5,3,1,0
17380,5.53303205,-74.67829275560659,1,1,4,0
17524,5.0203683,-75.6223394,5,3,1,0
17614,5.4209549,-75.7030623,4,3,1,0
17653,5.4079215,-75.4880202,4,3,1,0
17777,5.4533321,-75.651965,4,3,1,0
17873,5.0449697,-75.5151258,5,3,1,0
18001,1.6158666,-75.6143045,2,0,2,-1
18753,2.1131213,-74.7697347,5,0,2,-1
19001,2.4422295,-76.6072368,2,0,2,0
19050,2.2568076,-77.2494094,2,0,2,0
19075,2.042096,-77.2157842,2,0,2,0
19100,1.87332785,-76.99193235090075,2,0,2,0
19137,2.796326,-76.4836526,5,0,2,0
