Divipola,Poblacion_2034
5001,2019931.8593344043
5002,21297.0
5004,2841.0
5021,4912.0
5030,32142.0
5031,27637.0
5034,45796.0
5036,6082.0
5038,12005.0
5040,19527.0
15832,1627.0
5044,7433.0
5045,130362.0
5051,31853.0
5055,7975.0
5059,5358.0
5079,55649.0
5088,390778.8593344044
5091,10808.0
5093,16485.0
5101,27458.0
5107,8473.0
5113,9925.0
5120,30925.0
5125,8798.0
5129,85385.0
5134,9671.0
5138,16256.0
5142,4781.0
5145,4907.0
5147,51777.0
15476,5946.0
5150,4174.0
5154,97025.0
5172,61741.0
5190,10326.0
5197,16390.0
5206,5020.0
5209,22540.0
5212,83559.0
5234,24377.0
5237,20198.0
5240,12713.0
5250,55845.0
5264,11982.0
5266,246327.0
5282,25764.0
23675,39715.0
5306,5899.0
5308,55483.0
5310,10300.0
27361,30206.28205128205
5315,6926.0
5318,59226.0
5321,8945.0
5347,5682.0
5353,5790.0
5360,296953.0
5361,28634.0
5086,6356.0
5368,14344.0
5376,69831.0
5380,76971.0
5390,8571.0
5400,22870.0
5411,10556.0
5425,8646.0
5440,69343.0
5467,6973.0
5475,5263.0
5480,14904.0
5483,10723.0
5490,45151.0
5495,27705.0
5501,3292.0
5541,22410.0
5543,8585.0
5576,9124.0
5579,41857.0
5585,15124.0
5591,19387.0
5604,30277.0
5607,25227.0
5615,145704.0
5628,9592.0
5631,88966.0
5642,19153.0
15189,4894.0
52699,11297.0
5652,5945.0
5656,16368.0
68575,35451.2
68573,7914.0
5660,13690.0
5664,23409.0
5667,16489.0
5670,22775.0
5674,23349.0
5679,27647.0
5690,12970.0
5697,37801.0
5736,40602.0
5761,15949.0
50370,9989.0
5789,17029.0
5790,28874.0
5792,6510.0
5809,11259.0
5819,5225.0
5837,133430.0
5842,7211.0
5847,31885.0
5854,14596.0
5856,6876.0
5858,12453.0
5861,12208.0
5885,8026.0
5887,44102.0
5890,23825.0
5893,20572.0
5895,25989.0
8001,1323551.0
8078,69143.0
8141,17595.0
8296,68011.0
8421,30955.0
8433,142728.0
8436,21704.0
8549,7284.0
8558,20038.0
8634,36003.0
8638,103394.0
8675,17782.0
8685,33058.0
8758,423017.8593344044
8770,13085.0
8832,19132.0
8849,13573.0
13006,26859.63333333333
13042,7937.0
13052,75429.0
13062,8762.0
13140,24575.0
13160,9019.0
13188,14652.0
13212,17408.0
13222,16081.0
13248,9404.0
13430,145035.0
13433,30104.0
13440,11710.0
13458,18243.0
13468,48385.0
13473,24596.0
13490,10758.0
13549,25478.153846153848
13580,7502.0
13600,11436.0
13647,19816.0
13650,13725.0
13657,40020.0
13673,15889.0
13683,22736.0
13744,19902.0
13760,11585.0
13780,13835.1
13810,19500.0
13836,114716.0
13838,17776.0
13873,25795.0
15001,185469.0
15022,2030.0
15047,16319.0
15051,6265.0
15090,1664.0
15092,2047.0
15097,5368.0
15104,5392.0
15106,2297.0
15109,4626.0
15114,1202.0
15131,3296.0
15135,3259.0
15162,3912.0
15172,3373.0
15176,60138.0
15180,4155.0
15183,8317.0
15185,6185.0
15187,2960.0
15204,13896.0
15212,3798.0
15215,2662.0
15218,2904.0
15223,11175.0
15224,3980.0
15226,1899.0
15232,4971.0
15236,2640.0
15238,131591.0
15244,4377.0
15248,3217.0
15272,7109.0
15276,3422.0
15293,2939.0
15296,5112.0
15299,19208.0
15317,1952.0
15322,11400.0
15325,3501.0
15332,4492.0
15362,2078.0
15367,7666.0
15368,4133.0
15377,3685.0
15380,2821.0
15401,1177.0
15425,5295.0
15442,6016.0
15455,9400.0
15464,4886.0
15466,4453.0
15469,24083.0
15480,9016.0
15491,17167.0
15494,5431.0
15500,3007.0
15507,8541.0
15511,2573.0
