k,error,tiempo,muestra,estatus
4.0,0.35410036261132993,0.24480819702148438,0.05,Optimal
4.0,0.3384012582141808,0.2908594608306885,0.05862068965517242,Optimal
5.0,0.30677744602773394,0.38086438179016113,0.06724137931034482,Optimal
5.0,0.28699500275626066,0.3983347415924072,0.07586206896551724,Optimal
5.0,0.28082987559177147,0.5334441661834717,0.08448275862068966,Optimal
5.0,0.27331239227749354,0.5811483860015869,0.09310344827586207,Optimal
5.0,0.2640163724478839,0.7400057315826416,0.10172413793103449,Optimal
5.0,0.2464577587454089,0.8285355567932129,0.1103448275862069,Optimal
6.0,0.23974526814995933,1.1245884895324707,0.11896551724137931,Optimal
6.0,0.23626074976812725,1.115964651107788,0.12758620689655173,Optimal
6.0,0.22953652329753307,1.461568832397461,0.13620689655172413,Optimal
5.0,0.2188856779258258,1.6689832210540771,0.14482758620689656,Optimal
5.0,0.2186492138655352,1.6986629962921143,0.15344827586206897,Optimal
5.0,0.21298724124568752,2.009894847869873,0.16206896551724137,Optimal
5.0,0.20894697280054417,2.2098679542541504,0.1706896551724138,Optimal
5.0,0.20515416105225387,3.6682729721069336,0.17931034482758623,Optimal
6.0,0.20275086824703828,3.055880546569824,0.1879310344827586,Optimal
6.0,0.20252906052938877,3.209376811981201,0.19655172413793104,Optimal
7.0,0.1992090237817627,3.837564706802368,0.20517241379310347,Optimal
7.0,0.19823193971578829,4.830565929412842,0.21379310344827585,Optimal
7.0,0.1978958796722423,4.4494898319244385,0.22241379310344828,Optimal
7.0,0.19323282390107688,4.80867338180542,0.2310344827586207,Optimal
7.0,0.1886383703133999,5.0088348388671875,0.23965517241379308,Optimal
7.0,0.18986029468230323,6.428537130355835,0.2482758620689655,Optimal
7.0,0.1885668049753636,6.521279573440552,0.25689655172413794,Optimal
7.0,0.18770861689187457,7.416989803314209,0.2655172413793103,Optimal
7.0,0.18629601958469214,9.668164253234863,0.27413793103448275,Optimal
7.0,0.18614964434628828,11.296781539916992,0.2827586206896552,Optimal
7.0,0.18367558095748282,9.7114577293396,0.29137931034482756,Optimal
7.0,0.18118790140661248,16.00965452194214,0.3,Optimal
