Divipola,capacidad,precio,x_ij
5001,19344.0,38439846.0,"[0.0, 8.0]"
5002,1074.0,3111202.75,"[1.0, 0.0]"
5004,1074.0,3111202.75,"[1.0, 0.0]"
5021,1074.0,3111202.75,"[1.0, 0.0]"
5030,1074.0,3111202.75,"[1.0, 0.0]"
5031,1074.0,3111202.75,"[1.0, 0.0]"
5034,1074.0,3111202.75,"[1.0, 0.0]"
5036,1074.0,3111202.75,"[1.0, 0.0]"
5038,1074.0,3111202.75,"[1.0, 0.0]"
5040,1074.0,3111202.75,"[1.0, 0.0]"
15832,1074.0,3111202.75,"[1.0, 0.0]"
5044,1074.0,3111202.75,"[1.0, 0.0]"
5045,3093.12,3000000.0,Arrendar
5051,1074.0,3111202.75,"[1.0, 0.0]"
5055,1074.0,3111202.75,"[1.0, 0.0]"
5059,1074.0,3111202.75,"[1.0, 0.0]"
5079,1423.0500000000002,1950000.0,Arrendar
5088,4836.0,9609961.5,"[0.0, 2.0]"
5091,1074.0,3111202.75,"[1.0, 0.0]"
5093,1074.0,3111202.75,"[1.0, 0.0]"
5101,1074.0,3111202.75,"[1.0, 0.0]"
5107,1074.0,3111202.75,"[1.0, 0.0]"
5113,1074.0,3111202.75,"[1.0, 0.0]"
5120,1074.0,3111202.75,"[1.0, 0.0]"
5125,1074.0,3111202.75,"[1.0, 0.0]"
5129,4027.5,2250000.0,Arrendar
5134,1074.0,3111202.75,"[1.0, 0.0]"
5138,1074.0,3111202.75,"[1.0, 0.0]"
5142,1074.0,3111202.75,"[1.0, 0.0]"
5145,1074.0,3111202.75,"[1.0, 0.0]"
5147,1074.0,3111202.75,"[1.0, 0.0]"
15476,1074.0,3111202.75,"[1.0, 0.0]"
5150,1074.0,3111202.75,"[1.0, 0.0]"
5154,1074.0,3111202.75,"[1.0, 0.0]"
5172,1074.0,3111202.75,"[1.0, 0.0]"
5190,1074.0,3111202.75,"[1.0, 0.0]"
5197,1074.0,3111202.75,"[1.0, 0.0]"
5206,1074.0,3111202.75,"[1.0, 0.0]"
5209,1074.0,3111202.75,"[1.0, 0.0]"
5212,1074.0,3111202.75,"[1.0, 0.0]"
5234,1074.0,3111202.75,"[1.0, 0.0]"
5237,1074.0,3111202.75,"[1.0, 0.0]"
5240,1074.0,3111202.75,"[1.0, 0.0]"
5250,1074.0,3111202.75,"[1.0, 0.0]"
5264,1074.0,3111202.75,"[1.0, 0.0]"
5266,2418.0,4804980.75,"[0.0, 1.0]"
5282,1074.0,3111202.75,"[1.0, 0.0]"
23675,1074.0,3111202.75,"[1.0, 0.0]"
5306,1074.0,3111202.75,"[1.0, 0.0]"
5308,1074.0,3111202.75,"[1.0, 0.0]"
5310,1074.0,3111202.75,"[1.0, 0.0]"
27361,1074.0,3111202.75,"[1.0, 0.0]"
5315,1074.0,3111202.75,"[1.0, 0.0]"
5318,1074.0,3111202.75,"[1.0, 0.0]"
5321,1074.0,3111202.75,"[1.0, 0.0]"
5347,1074.0,3111202.75,"[1.0, 0.0]"
5353,1074.0,3111202.75,"[1.0, 0.0]"
5360,3492.0,7916183.5,"[1.0, 1.0]"
5361,1074.0,3111202.75,"[1.0, 0.0]"
5086,1074.0,3111202.75,"[1.0, 0.0]"
5368,1074.0,3111202.75,"[1.0, 0.0]"
5376,1074.0,3111202.75,"[1.0, 0.0]"
5380,1074.0,3111202.75,"[1.0, 0.0]"
5390,1074.0,3111202.75,"[1.0, 0.0]"
5400,1074.0,3111202.75,"[1.0, 0.0]"
5411,1074.0,3111202.75,"[1.0, 0.0]"
5425,1074.0,3111202.75,"[1.0, 0.0]"
5440,1074.0,3111202.75,"[1.0, 0.0]"
5467,1074.0,3111202.75,"[1.0, 0.0]"
5475,1074.0,3111202.75,"[1.0, 0.0]"
5480,1074.0,3111202.75,"[1.0, 0.0]"
5483,1074.0,3111202.75,"[1.0, 0.0]"
5490,1074.0,3111202.75,"[1.0, 0.0]"
5495,1074.0,3111202.75,"[1.0, 0.0]"
5501,1074.0,3111202.75,"[1.0, 0.0]"
5541,1074.0,3111202.75,"[1.0, 0.0]"
5543,1074.0,3111202.75,"[1.0, 0.0]"
5576,1074.0,3111202.75,"[1.0, 0.0]"
5579,1074.0,3111202.75,"[1.0, 0.0]"
5585,1074.0,3111202.75,"[1.0, 0.0]"
5591,1074.0,3111202.75,"[1.0, 0.0]"
5604,1074.0,3111202.75,"[1.0, 0.0]"
5607,1074.0,3111202.75,"[1.0, 0.0]"
5615,2418.0,4804980.75,"[0.0, 1.0]"
5628,1074.0,3111202.75,"[1.0, 0.0]"
5631,1074.0,3111202.75,"[1.0, 0.0]"
5642,1074.0,3111202.75,"[1.0, 0.0]"
15189,1074.0,3111202.75,"[1.0, 0.0]"
52699,1074.0,3111202.75,"[1.0, 0.0]"
5652,1074.0,3111202.75,"[1.0, 0.0]"
5656,1074.0,3111202.75,"[1.0, 0.0]"
68575,1074.0,3111202.75,"[1.0, 0.0]"
68573,1074.0,3111202.75,"[1.0, 0.0]"
5660,1074.0,3111202.75,"[1.0, 0.0]"
5664,1074.0,3111202.75,"[1.0, 0.0]"
5667,1074.0,3111202.75,"[1.0, 0.0]"
5670,1074.0,3111202.75,"[1.0, 0.0]"
5674,1074.0,3111202.75,"[1.0, 0.0]"
5679,1074.0,3111202.75,"[1.0, 0.0]"
5690,1074.0,3111202.75,"[1.0, 0.0]"
5697,1074.0,3111202.75,"[1.0, 0.0]"
5736,1074.0,3111202.75,"[1.0, 0.0]"
