Divipola,capacidad,costo,x_ij
11001,2418.0,4804980.75,25.0
13001,2418.0,4804980.75,4.0
13052,2418.0,4804980.75,0.0
13062,2418.0,4804980.75,0.0
13140,2418.0,4804980.75,0.0
13222,2418.0,4804980.75,0.0
13244,2418.0,4804980.75,0.0
13430,2418.0,4804980.75,1.0
13442,2418.0,4804980.75,0.0
13468,2418.0,4804980.75,0.0
13657,2418.0,4804980.75,0.0
13670,2418.0,4804980.75,0.0
13688,2418.0,4804980.75,0.0
13836,2418.0,4804980.75,0.0
13838,2418.0,4804980.75,0.0
15001,2418.0,4804980.75,1.0
15051,2418.0,4804980.75,0.0
15176,2418.0,4804980.75,0.0
15238,2418.0,4804980.75,1.0
15272,2418.0,4804980.75,0.0
15299,2418.0,4804980.75,0.0
15322,2418.0,4804980.75,0.0
15469,2418.0,4804980.75,0.0
15491,2418.0,4804980.75,0.0
15500,2418.0,4804980.75,0.0
15516,2418.0,4804980.75,0.0
15537,2418.0,4804980.75,0.0
15572,2418.0,4804980.75,0.0
15646,2418.0,4804980.75,0.0
15755,2418.0,4804980.75,0.0
15757,2418.0,4804980.75,0.0
15759,2418.0,4804980.75,1.0
15806,2418.0,4804980.75,0.0
15820,2418.0,4804980.75,0.0
15837,2418.0,4804980.75,0.0
17001,2418.0,4804980.75,2.0
17013,2418.0,4804980.75,0.0
17174,2418.0,4804980.75,0.0
17380,2418.0,4804980.75,0.0
17524,2418.0,4804980.75,0.0
17614,2418.0,4804980.75,0.0
17653,2418.0,4804980.75,0.0
17777,2418.0,4804980.75,0.0
17873,2418.0,4804980.75,0.0
18001,2418.0,4804980.75,1.0
18753,2418.0,4804980.75,0.0
19001,2418.0,4804980.75,1.0
19050,2418.0,4804980.75,0.0
19075,2418.0,4804980.75,0.0
19100,2418.0,4804980.75,0.0
19137,2418.0,4804980.75,0.0
19142,2418.0,4804980.75,0.0
19212,2418.0,4804980.75,0.0
19300,2418.0,4804980.75,0.0
19455,2418.0,4804980.75,0.0
19532,2418.0,4804980.75,0.0
19548,2418.0,4804980.75,0.0
19573,2418.0,4804980.75,0.0
19622,2418.0,4804980.75,0.0
19698,2418.0,4804980.75,1.0
19780,2418.0,4804980.75,0.0
19807,2418.0,4804980.75,0.0
19845,2418.0,4804980.75,0.0
20001,2418.0,4804980.75,1.0
20011,2418.0,4804980.75,1.0
20013,2418.0,4804980.75,0.0
20032,2418.0,4804980.75,0.0
20045,2418.0,4804980.75,0.0
20060,2418.0,4804980.75,0.0
20228,2418.0,4804980.75,0.0
20238,2418.0,4804980.75,0.0
20250,2418.0,4804980.75,0.0
20295,2418.0,4804980.75,0.0
20383,2418.0,4804980.75,0.0
20400,2418.0,4804980.75,0.0
20570,2418.0,4804980.75,0.0
20614,2418.0,4804980.75,0.0
20621,2418.0,4804980.75,0.0
20710,2418.0,4804980.75,0.0
20770,2418.0,4804980.75,0.0
23001,2418.0,4804980.75,2.0
23162,2418.0,4804980.75,0.0
23189,2418.0,4804980.75,0.0
23417,2418.0,4804980.75,1.0
23466,2418.0,4804980.75,0.0
23555,2418.0,4804980.75,0.0
23580,2418.0,4804980.75,0.0
23660,2418.0,4804980.75,0.0
23670,2418.0,4804980.75,0.0
23807,2418.0,4804980.75,0.0
25001,2418.0,4804980.75,0.0
25019,2418.0,4804980.75,0.0
25035,2418.0,4804980.75,0.0
25040,2418.0,4804980.75,0.0
25053,2418.0,4804980.75,0.0
25099,2418.0,4804980.75,0.0
25126,2418.0,4804980.75,0.0
25148,2418.0,4804980.75,0.0
25151,2418.0,4804980.75,0.0
25175,2418.0,4804980.75,1.0
25183,2418.0,4804980.75,0.0
25200,2418.0,4804980.75,0.0
25214,2418.0,4804980.75,0.0
25224,2418.0,4804980.75,0.0
25245,2418.0,4804980.75,0.0
25260,2418.0,4804980.75,0.0
25269,2418.0,4804980.75,1.0
25279,2418.0,4804980.75,0.0
25286,2418.0,4804980.75,0.0
25290,2418.0,4804980.75,1.0
25295,2418.0,4804980.75,0.0
25307,2418.0,4804980.75,1.0
25317,2418.0,4804980.75,0.0
25320,2418.0,4804980.75,0.0
25322,2418.0,4804980.75,0.0
25377,2418.0,4804980.75,0.0
25386,2418.0,4804980.75,0.0
25402,2418.0,4804980.75,0.0
25407,2418.0,4804980.75,0.0
25430,2418.0,4804980.75,1.0
25473,2418.0,4804980.75,1.0
25486,2418.0,4804980.75,0.0
25513,2418.0,4804980.75,0.0
25530,2418.0,4804980.75,0.0
25572,2418.0,4804980.75,0.0
