Divipola,capacidad,costo,x_ij
5001,2418.0,4804980.75,8.0
5002,2418.0,4804980.75,0.0
5004,2418.0,4804980.75,0.0
5021,2418.0,4804980.75,0.0
5030,2418.0,4804980.75,0.0
5031,2418.0,4804980.75,0.0
5034,2418.0,4804980.75,0.0
5036,2418.0,4804980.75,0.0
5038,2418.0,4804980.75,0.0
5040,2418.0,4804980.75,0.0
15832,2418.0,4804980.75,0.0
5044,2418.0,4804980.75,0.0
5045,2418.0,4804980.75,1.0
5051,2418.0,4804980.75,0.0
5055,2418.0,4804980.75,0.0
5059,2418.0,4804980.75,0.0
5079,2418.0,4804980.75,0.0
5088,2418.0,4804980.75,2.0
5091,2418.0,4804980.75,0.0
5093,2418.0,4804980.75,0.0
5101,2418.0,4804980.75,0.0
5107,2418.0,4804980.75,0.0
5113,2418.0,4804980.75,0.0
5120,2418.0,4804980.75,0.0
5125,2418.0,4804980.75,0.0
5129,2418.0,4804980.75,0.0
5134,2418.0,4804980.75,0.0
5138,2418.0,4804980.75,0.0
5142,2418.0,4804980.75,0.0
5145,2418.0,4804980.75,0.0
5147,2418.0,4804980.75,0.0
15476,2418.0,4804980.75,0.0
5150,2418.0,4804980.75,0.0
5154,2418.0,4804980.75,0.0
5172,2418.0,4804980.75,0.0
5190,2418.0,4804980.75,0.0
5197,2418.0,4804980.75,0.0
5206,2418.0,4804980.75,0.0
5209,2418.0,4804980.75,0.0
5212,2418.0,4804980.75,0.0
5234,2418.0,4804980.75,0.0
5237,2418.0,4804980.75,0.0
5240,2418.0,4804980.75,0.0
5250,2418.0,4804980.75,0.0
5264,2418.0,4804980.75,0.0
5266,2418.0,4804980.75,1.0
5282,2418.0,4804980.75,0.0
23675,2418.0,4804980.75,0.0
5306,2418.0,4804980.75,0.0
5308,2418.0,4804980.75,0.0
5310,2418.0,4804980.75,0.0
27361,2418.0,4804980.75,0.0
5315,2418.0,4804980.75,0.0
5318,2418.0,4804980.75,0.0
5321,2418.0,4804980.75,0.0
5347,2418.0,4804980.75,0.0
5353,2418.0,4804980.75,0.0
5360,2418.0,4804980.75,1.0
5361,2418.0,4804980.75,0.0
5086,2418.0,4804980.75,0.0
5368,2418.0,4804980.75,0.0
5376,2418.0,4804980.75,0.0
5380,2418.0,4804980.75,0.0
5390,2418.0,4804980.75,0.0
5400,2418.0,4804980.75,0.0
5411,2418.0,4804980.75,0.0
5425,2418.0,4804980.75,0.0
5440,2418.0,4804980.75,0.0
5467,2418.0,4804980.75,0.0
5475,2418.0,4804980.75,0.0
5480,2418.0,4804980.75,0.0
5483,2418.0,4804980.75,0.0
5490,2418.0,4804980.75,0.0
5495,2418.0,4804980.75,0.0
5501,2418.0,4804980.75,0.0
5541,2418.0,4804980.75,0.0
5543,2418.0,4804980.75,0.0
5576,2418.0,4804980.75,0.0
5579,2418.0,4804980.75,0.0
5585,2418.0,4804980.75,0.0
5591,2418.0,4804980.75,0.0
5604,2418.0,4804980.75,0.0
5607,2418.0,4804980.75,0.0
5615,2418.0,4804980.75,1.0
5628,2418.0,4804980.75,0.0
5631,2418.0,4804980.75,0.0
5642,2418.0,4804980.75,0.0
15189,2418.0,4804980.75,0.0
52699,2418.0,4804980.75,0.0
5652,2418.0,4804980.75,0.0
5656,2418.0,4804980.75,0.0
68575,2418.0,4804980.75,0.0
68573,2418.0,4804980.75,0.0
5660,2418.0,4804980.75,0.0
5664,2418.0,4804980.75,0.0
5667,2418.0,4804980.75,0.0
5670,2418.0,4804980.75,0.0
5674,2418.0,4804980.75,0.0
